# Program:featureCounts v2.0.8; Command:"featureCounts" "-p" "-T" "8" "-t" "CDS" "-g" "gene_name" "-a" "ref/LacFitz_annotation/LacFitz_assembly.gtf" "-o" "LacFitz_transcripts.txt" "mapping/L-A_S491_L006_vs_LacFitz.sorted.bam" "mapping/L-B_S492_L006_vs_LacFitz.sorted.bam" "mapping/L-C_S493_L006_vs_LacFitz.sorted.bam" "mapping/LplusA_S498_L006_vs_LacFitz.sorted.bam" "mapping/LplusB_S499_L006_vs_LacFitz.sorted.bam" "mapping/LplusC_S500_L006_vs_LacFitz.sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	mapping/L-A_S491_L006_vs_LacFitz.sorted.bam	mapping/L-B_S492_L006_vs_LacFitz.sorted.bam	mapping/L-C_S493_L006_vs_LacFitz.sorted.bam	mapping/LplusA_S498_L006_vs_LacFitz.sorted.bam	mapping/LplusB_S499_L006_vs_LacFitz.sorted.bam	mapping/LplusC_S500_L006_vs_LacFitz.sorted.bam
recQ	MRSA_LacFitz_contig_1;MRSA_LacFitz_contig_1	238853;996279	240634;997658	+;-	3162	18451	18870	24305	8050	9043	8721
opuBA	MRSA_LacFitz_contig_1;MRSA_LacFitz_contig_1	240856;2019705	241833;2020931	+;-	2205	7892	8461	11596	3867	4597	5125
egtUBC	MRSA_LacFitz_contig_1	241826	243340	+	1515	13647	13826	18433	7018	7379	6917
hisC	MRSA_LacFitz_contig_1;MRSA_LacFitz_contig_1	243580;2280611	244638;2281624	+;-	2073	1902	1396	3067	1344	1851	2112
yorC	MRSA_LacFitz_contig_1	244989	245531	+	543	3749	3628	4782	2315	2430	2474
lCB5	MRSA_LacFitz_contig_1	246155	247072	-	918	7236	5170	8957	1118	1559	921
pTR2	MRSA_LacFitz_contig_1	247342	248847	-	1506	87007	97693	123093	109431	105031	102809
queF	MRSA_LacFitz_contig_1	249188	249688	-	501	5255	5569	7211	5056	4783	4393
rhaT	MRSA_LacFitz_contig_1;MRSA_LacFitz_contig_1;MRSA_LacFitz_contig_1	249708;2440275;2112755	250574;2441147;2113717	-;-;+	2703	11177	11525	14483	9300	9898	9060
nrdI	MRSA_LacFitz_contig_1	251375	251773	+	399	15950	14035	21261	6020	7681	8480
nrdE	MRSA_LacFitz_contig_1	251736	253841	+	2106	82093	73614	104008	34281	39023	38170
nrdF	MRSA_LacFitz_contig_1	253959	254930	+	972	42944	38459	52132	18836	21757	19936
ceuB	MRSA_LacFitz_contig_1	255596	256609	+	1014	261	323	336	372	170	377
ceuC	MRSA_LacFitz_contig_1	256596	257552	+	957	270	255	273	299	168	480
ceuD	MRSA_LacFitz_contig_1	257549	258310	+	762	198	283	368	333	207	468
ceuA	MRSA_LacFitz_contig_1	258429	259457	+	1029	2950	3114	3881	2446	1860	3323
PBCCJM_00251	MRSA_LacFitz_contig_1	259774	260088	-	315	3811	4117	5193	3128	3131	2794
murB	MRSA_LacFitz_contig_1	260106	261029	-	924	10294	10337	13180	7923	8350	7152
grpB	MRSA_LacFitz_contig_1	261156	261674	-	519	3160	3294	4178	2027	2235	2302
PBCCJM_00254	MRSA_LacFitz_contig_1	261794	262612	+	819	4949	4996	6248	3986	4469	4509
ytxJ	MRSA_LacFitz_contig_1	262825	263145	+	321	5363	5206	5974	2582	2861	3246
glxK	MRSA_LacFitz_contig_1;MRSA_LacFitz_contig_1	263570;2000204	264694;2001346	+;+	2268	11953	11815	15031	9251	9504	9660
pepT	MRSA_LacFitz_contig_1	264883	266109	-	1227	12514	11498	15092	10806	10778	10710
gGDEF	MRSA_LacFitz_contig_1	267592	268662	-	1071	9652	10781	11629	6824	7644	6812
rfe	MRSA_LacFitz_contig_1	268980	270035	+	1056	11507	13031	16229	6753	7749	8593
yIH1	MRSA_LacFitz_contig_1	270205	270846	-	642	3791	3587	4682	3339	3103	3479
fakB1	MRSA_LacFitz_contig_1	270990	271856	+	867	23886	23648	27051	21356	20336	18420
comFA	MRSA_LacFitz_contig_1	272220	273302	+	1083	439	400	609	302	297	335
comFC	MRSA_LacFitz_contig_1	273295	273969	+	675	167	156	249	79	85	65
hpf	MRSA_LacFitz_contig_1	274030	274602	+	573	51951	29520	53428	39347	21992	38826
secA	MRSA_LacFitz_contig_1	275016	277547	+	2532	48535	48868	60899	48519	53426	51470
prfB	MRSA_LacFitz_contig_1	277980	278972	+	993	7311	6873	8838	5578	5710	5807
PBCCJM_00269	MRSA_LacFitz_contig_1	279381	280220	+	840	439	449	555	27361	29782	8698
yfbR	MRSA_LacFitz_contig_1	280394	281044	+	651	3885	4032	4795	2973	3307	2803
csbA	MRSA_LacFitz_contig_1	281041	281277	+	237	392	438	530	359	439	340
uvrB	MRSA_LacFitz_contig_1	281546	283531	+	1986	9357	8962	12187	6345	6787	7006
uvrA	MRSA_LacFitz_contig_1	283539	286385	+	2847	19426	17901	24187	12871	13423	14323
hprK	MRSA_LacFitz_contig_1	287047	287979	+	933	12575	12032	17367	10714	10008	10325
lgt	MRSA_LacFitz_contig_1	287985	288824	+	840	7896	7956	11324	6846	6797	6828
wbbJ	MRSA_LacFitz_contig_1;MRSA_LacFitz_contig_1;MRSA_LacFitz_contig_1	288832;2498749;2139073	289317;2499375;2139672	+;+;-	1713	5640	5663	8021	4569	4537	4849
PBCCJM_00278	MRSA_LacFitz_contig_1	289325	290764	+	1440	9473	9933	12914	7543	8246	7759
trxB	MRSA_LacFitz_contig_1;MRSA_LacFitz_contig_1	290831;2167842	291766;2168948	+;-	2043	29046	28491	34279	35682	30939	35501
rapZ	MRSA_LacFitz_contig_1	292646	293557	+	912	3016	2643	3203	2447	2118	2429
cofD	MRSA_LacFitz_contig_1	293554	294549	+	996	10603	8696	12557	5323	4942	4958
whiA	MRSA_LacFitz_contig_1	294659	295603	+	945	10138	8179	11693	5060	5208	5181
clpP	MRSA_LacFitz_contig_1;MRSA_LacFitz_contig_1	296177;1550050	296764;1550787	+;-	1326	38360	43768	55251	44170	42461	37922
yfcH	MRSA_LacFitz_contig_1	297007	297876	-	870	5508	5024	7069	1921	1859	2720
PBCCJM_00288	MRSA_LacFitz_contig_1	298611	299240	+	630	13295	11109	18309	2418	2901	4200
deoR	MRSA_LacFitz_contig_1	299882	300895	+	1014	307228	289648	420370	253395	233042	199622
gap	MRSA_LacFitz_contig_1;MRSA_LacFitz_contig_1	300948;1232147	301958;1233172	+;-	2037	541463	556169	738044	509745	461335	385076
pgk	MRSA_LacFitz_contig_1	302097	303287	+	1191	149673	149274	192248	132657	120651	90139
tpiA	MRSA_LacFitz_contig_1	303409	304170	+	762	89005	91418	122548	83987	78520	54566
gpmI	MRSA_LacFitz_contig_1	304173	305690	+	1518	203186	221285	289922	185255	169419	122907
eno	MRSA_LacFitz_contig_1	305820	307124	+	1305	332066	347670	425381	312597	300989	270643
PBCCJM_00296	MRSA_LacFitz_contig_1	307464	307922	+	459	5016	5041	6165	4370	4015	3753
secG	MRSA_LacFitz_contig_1	307989	308222	+	234	11855	14551	15592	9288	9378	9692
yvaK	MRSA_LacFitz_contig_1;MRSA_LacFitz_contig_1	308338;2801033	309078;2801767	+;+	1476	13397	14649	17808	10592	10686	8628
rnr	MRSA_LacFitz_contig_1	309112	311484	+	2373	32268	30346	36555	24033	22040	20071
smpB	MRSA_LacFitz_contig_1	311506	311970	+	465	7754	7248	9050	5814	4599	4932
PBCCJM_00302	MRSA_LacFitz_contig_1	313292	313615	-	324	1991	2038	2684	398	393	483
PBCCJM_00303	MRSA_LacFitz_contig_1	313969	314697	-	729	4966	4720	6472	253	296	754
PBCCJM_00304	MRSA_LacFitz_contig_1	315296	315739	+	444	121	105	178	25	29	38
yhbS	MRSA_LacFitz_contig_1;MRSA_LacFitz_contig_1;MRSA_LacFitz_contig_1;MRSA_LacFitz_contig_1	315956;2826068;1969310;2265969	316486;2826592;1969846;2266469	+;+;-;-	2094	4643	4901	5846	5297	5246	4717
clfA	MRSA_LacFitz_contig_1	316749	319550	+	2802	22874	15189	27393	4939	5480	5630
vwb	MRSA_LacFitz_contig_1	319771	321297	+	1527	1898	3971	2579	1722	1733	555
emp	MRSA_LacFitz_contig_1	321648	322670	+	1023	762	942	982	369	376	460
PBCCJM_00309	MRSA_LacFitz_contig_1	323005	323475	+	471	1283	1917	1703	539	490	351
nuc	MRSA_LacFitz_contig_1	323816	324502	+	687	8377	6850	9077	2311	2330	3210
cspC	MRSA_LacFitz_contig_1;MRSA_LacFitz_contig_1	324859;2308282	325059;2308482	+;+	402	278227	258440	289563	88467	80074	84036
PBCCJM_00312	MRSA_LacFitz_contig_1	325555	325773	-	219	1223	1225	1690	495	651	607
PBCCJM_00313	MRSA_LacFitz_contig_1	325835	326119	-	285	1540	1365	2048	625	807	663
lnsA	MRSA_LacFitz_contig_1	326207	326776	-	570	1431	1529	1896	846	1104	1170
PBCCJM_00315	MRSA_LacFitz_contig_1	326964	327152	-	189	556	394	624	325	203	378
PBCCJM_00316	MRSA_LacFitz_contig_1	327181	327441	-	261	1163	890	1390	587	452	689
yozE	MRSA_LacFitz_contig_1;MRSA_LacFitz_contig_1;MRSA_LacFitz_contig_1;MRSA_LacFitz_contig_1	327782;2122564;905703;2192607	327985;2122782;905924;2192819	+;+;-;-	858	191487	172913	222351	20545	21890	56412
PBCCJM_00318	MRSA_LacFitz_contig_1	327982	328218	-	237	2978	3163	4423	757	975	942
phoE	MRSA_LacFitz_contig_1;MRSA_LacFitz_contig_1	328443;2742852	329024;2743433	+;+	1164	4380	3925	5278	5862	5811	5702
argO	MRSA_LacFitz_contig_1	329097	329714	-	618	3520	2719	4330	2785	2323	2700
PBCCJM_00321	MRSA_LacFitz_contig_1	329869	330363	-	495	13147	10247	16234	1551	1521	4230
osmC	MRSA_LacFitz_contig_1;MRSA_LacFitz_contig_1	330762;1277258	331184;1277704	-;+	870	3346	3174	4565	1926	1821	2082
aroD	MRSA_LacFitz_contig_1	331332	332048	+	717	948	924	1305	1119	1309	1296
nfnB	MRSA_LacFitz_contig_1;MRSA_LacFitz_contig_1	332131;2102279	332670;2102950	+;-	1212	2783	2986	3844	5807	4936	5149
trxA	MRSA_LacFitz_contig_1;MRSA_LacFitz_contig_1	332820;599650	333140;599964	-;+	636	19799	19658	22772	16997	15141	18547
arsC	MRSA_LacFitz_contig_1;MRSA_LacFitz_contig_1	333284;1346802	333640;1347197	+;+	753	20571	19627	27323	14794	12979	15041
gcvH	MRSA_LacFitz_contig_1;MRSA_LacFitz_contig_1	333798;2695501	334178;2695833	+;+	714	26646	23384	31943	22865	22945	25455
PBCCJM_00328	MRSA_LacFitz_contig_1	334242	334355	+	114	69	69	107	74	74	83
PBCCJM_00329	MRSA_LacFitz_contig_1	334357	335235	+	879	1389	1329	1736	1276	1206	1559
rnmV	MRSA_LacFitz_contig_1;MRSA_LacFitz_contig_1	335974;2846063	336363;2846599	+;+	927	3951	3595	4715	2487	2675	2708
PBCCJM_00332	MRSA_LacFitz_contig_1	336356	336652	+	297	698	514	578	436	410	458
metN2	MRSA_LacFitz_contig_1	336902	337927	+	1026	5124	2850	5669	3591	3660	4073
metP	MRSA_LacFitz_contig_1;MRSA_LacFitz_contig_1	337920;2807140	338615;2807799	+;+	1356	2070	1259	2474	1657	1765	1523
nlpA	MRSA_LacFitz_contig_1	338633	339454	+	822	4463	2420	5253	3799	4395	4411
PBCCJM_00336	MRSA_LacFitz_contig_1	339597	340817	-	1221	1839	1779	2319	2579	2281	2663
sek	MRSA_LacFitz_contig_1	340905	341633	-	729	3617	3565	4666	4496	3939	4831
seq	MRSA_LacFitz_contig_1	341657	342385	-	729	2085	1927	2339	2954	2608	2844
PBCCJM_00339	MRSA_LacFitz_contig_1	342402	342860	-	459	1510	1363	1914	2031	1949	2000
PBCCJM_00340	MRSA_LacFitz_contig_1	342872	343204	-	333	1716	1571	2029	2233	2027	2136
PBCCJM_00341	MRSA_LacFitz_contig_1	343397	343660	+	264	138	97	137	272	103	147
PBCCJM_00342	MRSA_LacFitz_contig_1	343653	343925	+	273	130	57	114	155	51	100
PBCCJM_00343	MRSA_LacFitz_contig_1	343937	344110	+	174	2	2	0	4	2	5
PBCCJM_00344	MRSA_LacFitz_contig_1	344077	344280	+	204	5	5	13	4	1	1
PBCCJM_00345	MRSA_LacFitz_contig_1	344282	344665	+	384	119	124	199	203	97	133
PBCCJM_00346	MRSA_LacFitz_contig_1	344666	344914	+	249	125	88	159	198	72	112
PBCCJM_00347	MRSA_LacFitz_contig_1	345006	347378	+	2373	1564	1085	2057	1590	1012	1275
PBCCJM_00348	MRSA_LacFitz_contig_1	348049	348393	+	345	431	327	457	291	249	278
PBCCJM_00349	MRSA_LacFitz_contig_1	348618	348824	+	207	104	91	75	105	72	91
PBCCJM_00350	MRSA_LacFitz_contig_1	348811	349869	+	1059	1587	1398	1764	1373	1252	1449
PBCCJM_00351	MRSA_LacFitz_contig_1	350053	350544	+	492	705	518	639	399	308	466
PBCCJM_00352	MRSA_LacFitz_contig_1	350973	351941	+	969	19963	20863	26270	13764	16755	15859
PBCCJM_00353	MRSA_LacFitz_contig_1	352176	352730	-	555	1366	1224	1635	574	651	879
yjbJ	MRSA_LacFitz_contig_1;MRSA_LacFitz_contig_1	353764;1176890	353958;1177072	+;-	378	73064	52558	82780	6687	12329	361
popT	MRSA_LacFitz_contig_1	354191	355042	-	852	11988	9927	13617	5030	5594	5831
sufC	MRSA_LacFitz_contig_1	355370	356131	+	762	17316	14984	19594	12890	14116	9562
sufD	MRSA_LacFitz_contig_1	356229	357536	+	1308	35641	30628	41543	26118	29180	19354
csd	MRSA_LacFitz_contig_1	357651	358892	+	1242	33558	27920	38405	23459	26051	19220
iscU	MRSA_LacFitz_contig_1	358882	359346	+	465	16509	14481	20895	10692	11912	9130
sufB	MRSA_LacFitz_contig_1	359497	360894	+	1398	39902	34067	45583	27419	29975	24362
PBCCJM_00361	MRSA_LacFitz_contig_1	361224	361538	-	315	319	379	405	189	197	163
corB	MRSA_LacFitz_contig_1	361903	362943	+	1041	3286	3307	4457	1826	1957	2146
yrpB	MRSA_LacFitz_contig_1	362957	364024	+	1068	4411	4276	5804	2466	2592	2646
yecE	MRSA_LacFitz_contig_1	364237	365085	+	849	4861	5142	6854	3541	3537	3566
tauE	MRSA_LacFitz_contig_1;MRSA_LacFitz_contig_1;MRSA_LacFitz_contig_1	365098;1269530;2408472	365925;1270300;2409227	+;-;-	2355	6573	6957	8998	5515	4957	5347
ushA	MRSA_LacFitz_contig_1;MRSA_LacFitz_contig_1;MRSA_LacFitz_contig_1	365952;474666;2483940	367271;476180;2485475	+;+;+	4371	11991	11813	15071	13331	12023	11674
lipA	MRSA_LacFitz_contig_1	367355	368272	+	918	14931	15643	17178	15086	14031	14320
yutD	MRSA_LacFitz_contig_1	368402	368785	+	384	2260	2168	2670	1932	1954	1842
PBCCJM_00369	MRSA_LacFitz_contig_1	368864	369130	-	267	1014	1092	1260	679	652	830
yutE	MRSA_LacFitz_contig_1	369228	369662	+	435	5342	6037	7903	5297	4914	5387
nagD	MRSA_LacFitz_contig_1	369662	370441	+	780	7574	8004	10560	7220	7123	7317
ldhA	MRSA_LacFitz_contig_1;MRSA_LacFitz_contig_1;MRSA_LacFitz_contig_1	370474;1864583;2517943	371433;1865536;2518968	+;+;+	2940	25284	23687	32809	26379	23412	25465
dltX	MRSA_LacFitz_contig_1	371845	371997	+	153	4030	4920	6139	4686	4028	3965
dltA	MRSA_LacFitz_contig_1	372013	373470	+	1458	29151	32279	35989	35264	30382	29058
dltB	MRSA_LacFitz_contig_1	373467	374681	+	1215	22531	25775	29340	26683	22288	23946
dltC	MRSA_LacFitz_contig_1	374699	374935	+	237	3119	3524	4170	3323	2649	3281
dltD	MRSA_LacFitz_contig_1	374932	376107	+	1176	52529	54607	64071	52549	42067	50206
PBCCJM_00378	MRSA_LacFitz_contig_1	376370	376612	-	243	8029	8253	9327	6413	6042	6922
yuzD	MRSA_LacFitz_contig_1	376713	377036	+	324	1742	1739	2159	1503	1449	1799
ndh	MRSA_LacFitz_contig_1;MRSA_LacFitz_contig_1;MRSA_LacFitz_contig_1	377095;384528;379538	378159;385682;380746	-;-;+	3429	116393	94302	127405	79658	78528	88749
yuzB	MRSA_LacFitz_contig_1	378476	378712	+	237	1496	1474	1764	1217	1203	1331
iscA	MRSA_LacFitz_contig_1	378725	379084	+	360	3354	3023	3885	2329	2356	2443
pepB	MRSA_LacFitz_contig_1	380877	382352	+	1476	9112	9260	12301	5947	6079	6718
yuiF	MRSA_LacFitz_contig_1	382763	384079	+	1317	59230	49518	83163	17383	24707	39584
paaI	MRSA_LacFitz_contig_1	384098	384472	+	375	14024	11836	19197	4955	8445	10945
mnhG1	MRSA_LacFitz_contig_1	385931	386287	-	357	2564	2481	2718	1785	2097	2030
mnhF1	MRSA_LacFitz_contig_1	386265	386558	-	294	3090	3137	4030	2047	2252	2199
mnhE1	MRSA_LacFitz_contig_1	386558	387037	-	480	9443	10140	12928	6501	6977	7143
mnhD1	MRSA_LacFitz_contig_1	387039	388535	-	1497	33218	35605	46674	23961	26240	26173
mnhC1	MRSA_LacFitz_contig_1	388528	388869	-	342	4823	4995	6455	3377	3665	3851
mnhB1	MRSA_LacFitz_contig_1	388869	389297	-	429	2773	2786	3402	2278	2599	2609
mnhA1	MRSA_LacFitz_contig_1	389290	391695	-	2406	68328	74951	99923	51764	53107	57178
PBCCJM_00395	MRSA_LacFitz_contig_1	391826	392209	-	384	892	829	1075	810	792	855
ppiB	MRSA_LacFitz_contig_1	392273	392866	+	594	21339	20343	24915	21328	20559	22183
ygs	MRSA_LacFitz_contig_1	393282	393659	+	378	11961	11843	15064	7748	7722	9454
fadH	MRSA_LacFitz_contig_1;MRSA_LacFitz_contig_1	394021;2692965	395148;2694164	+;-	2328	6240	6581	8351	3922	4148	4385
rocD	MRSA_LacFitz_contig_1;MRSA_LacFitz_contig_1	395456;2533063	396646;2534247	+;-	2376	1469	1092	1494	2294	1401	2113
gluD	MRSA_LacFitz_contig_1	396755	397999	+	1245	15664	11133	17132	13846	8148	14465
ugpQ	MRSA_LacFitz_contig_1;MRSA_LacFitz_contig_1;MRSA_LacFitz_contig_1;MRSA_LacFitz_contig_1	398502;574752;1276435;2354381	399431;575678;1277178;2355124	-;-;-;+	3345	13651	12163	16770	10388	9224	9946
argH	MRSA_LacFitz_contig_1	399673	401052	-	1380	95173	42181	119248	45853	49148	44050
argG	MRSA_LacFitz_contig_1	401042	402247	-	1206	110816	47304	128903	56045	45366	44343
pgi	MRSA_LacFitz_contig_1	402598	403929	+	1332	76079	82053	98772	73488	71626	68953
tVP38	MRSA_LacFitz_contig_1	404254	404829	+	576	4727	4663	5434	3242	3781	3665
lepB	MRSA_LacFitz_contig_1;MRSA_LacFitz_contig_1	404834;405374	405358;405949	+;+	1101	16184	15745	18936	11093	12149	12336
addB	MRSA_LacFitz_contig_1	406109	409585	+	3477	10248	9188	12449	8389	8453	8064
addA	MRSA_LacFitz_contig_1	409586	413239	+	3654	11336	10395	14422	9426	9125	8036
ycgM	MRSA_LacFitz_contig_1	413405	414307	+	903	23510	20667	31588	21404	18778	18460
PBCCJM_00412	MRSA_LacFitz_contig_1	414636	415025	+	390	3360	3114	3364	2044	1875	2154
cdr	MRSA_LacFitz_contig_1	415196	416512	-	1317	30209	31654	40217	19696	18553	20383
sufT	MRSA_LacFitz_contig_1	417502	417810	+	309	13451	14839	17090	11851	11347	12429
PBCCJM_00416	MRSA_LacFitz_contig_1	418357	420171	+	1815	782	755	993	3897	3876	2436
clpB	MRSA_LacFitz_contig_1	420374	422983	+	2610	8568	7344	10962	9084	8139	6735
leuA	MRSA_LacFitz_contig_1;MRSA_LacFitz_contig_1	424021;1614073	425166;1615602	+;+	2676	652	314	920	735	728	643
PBCCJM_00420	MRSA_LacFitz_contig_1	425150	425791	+	642	96	80	108	155	139	99
PBCCJM_00421	MRSA_LacFitz_contig_1	425784	426902	+	1119	552	646	864	587	613	532
pEBP	MRSA_LacFitz_contig_1	426886	427401	+	516	394	532	617	705	613	693
PBCCJM_00423	MRSA_LacFitz_contig_1	427712	428146	+	435	3223	2400	3357	1778	1511	1473
PBCCJM_00424	MRSA_LacFitz_contig_1	428403	428588	-	186	7342	8691	9648	6327	5660	7204
fabH	MRSA_LacFitz_contig_1	428883	429824	+	942	19535	22324	22853	14666	14073	11726
fabF	MRSA_LacFitz_contig_1	429836	431080	+	1245	51953	55354	62260	39821	34402	35363
PBCCJM_00427	MRSA_LacFitz_contig_1	431135	431506	-	372	1015	876	1240	527	476	591
opp3b	MRSA_LacFitz_contig_1	431749	432675	+	927	2348	1563	2897	184	241	688
opp3C	MRSA_LacFitz_contig_1	432675	433745	+	1071	2528	1512	3427	191	236	713
dppD	MRSA_LacFitz_contig_1;MRSA_LacFitz_contig_1;MRSA_LacFitz_contig_1	433762;439427;440416	434844;440413;441396	+;+;+	3051	2978	1756	3852	5666	4632	2368
gsiA	MRSA_LacFitz_contig_1;MRSA_LacFitz_contig_1	434834;2287254	435775;2288966	+;-	2655	2809	1686	3737	1344	1342	1685
oppA	MRSA_LacFitz_contig_1;MRSA_LacFitz_contig_1	435794;2556621	437449;2558396	+;+	3432	4327	2829	5517	1319	1282	1834
opp4A	MRSA_LacFitz_contig_1	437661	439376	+	1716	49	43	59	22239	16805	5436
opp4B	MRSA_LacFitz_contig_1	441389	442351	+	963	522	498	779	1994	1533	871
opp4C	MRSA_LacFitz_contig_1	442363	443244	+	882	307	329	396	1699	1204	628
trpS	MRSA_LacFitz_contig_1	443286	444275	-	990	21476	18670	25245	18688	17565	18138
spxA	MRSA_LacFitz_contig_1	444570	444965	+	396	138972	120752	165336	82914	71089	93309
mecA	MRSA_LacFitz_contig_1;MRSA_LacFitz_contig_1	445336;2355695	446055;2357701	+;-	2727	595803	586012	739173	419368	413483	407128
coiA	MRSA_LacFitz_contig_1;MRSA_LacFitz_contig_1	446176;446547	446433;447161	+;+	873	411	341	528	200	218	215
pepF	MRSA_LacFitz_contig_1;MRSA_LacFitz_contig_1	447209;863403	449017;865217	+;+	3624	55501	59964	76633	44516	43401	43166
yjbH	MRSA_LacFitz_contig_1	449477	450283	-	807	8980	8372	12578	8163	7869	9559
yjbI	MRSA_LacFitz_contig_1	450306	450671	-	366	4666	4703	6421	4113	4025	4799
yjbK	MRSA_LacFitz_contig_1	450775	451368	-	594	3703	3194	4790	2730	2674	2965
PBCCJM_00449	MRSA_LacFitz_contig_1	451554	451901	+	348	2457	2382	3017	2415	2369	2288
yjbM	MRSA_LacFitz_contig_1;MRSA_LacFitz_contig_1	451918;2084885	452553;2085577	+;-	1329	8743	8312	11964	8044	7232	8099
nadK	MRSA_LacFitz_contig_1	452570	453379	+	810	7499	7060	9242	7378	7166	7269
rluA	MRSA_LacFitz_contig_1;MRSA_LacFitz_contig_1;MRSA_LacFitz_contig_1	453376;649832;1427329	454230;650749;1428150	+;+;+	2595	33740	34669	41349	19012	18758	19432
mgtE	MRSA_LacFitz_contig_1	454251	455636	+	1386	3486	3559	4205	3320	3625	3497
trkA	MRSA_LacFitz_contig_1;MRSA_LacFitz_contig_1	455646;541012	457490;541674	+;+	2508	22577	25221	29661	16016	16232	15562
fabI	MRSA_LacFitz_contig_1	457768	458538	+	771	24960	25674	29665	21753	19892	20583
perM	MRSA_LacFitz_contig_1;MRSA_LacFitz_contig_1	458733;837425	459818;838573	-;+	2235	37290	39411	48694	27530	26689	27883
alsT	MRSA_LacFitz_contig_1;MRSA_LacFitz_contig_1	460160;834419	461728;835879	+;+	3030	17462	16601	18567	12434	12473	12091
fes	MRSA_LacFitz_contig_1	461870	462628	+	759	838	830	1059	803	776	875
thpR	MRSA_LacFitz_contig_1	462822	463331	+	510	9460	7345	10879	2655	2494	4545
ltaA	MRSA_LacFitz_contig_1	463444	464634	-	1191	17281	17730	23722	13692	12948	13857
ugtP	MRSA_LacFitz_contig_1	464612	465787	-	1176	19820	18997	25305	13569	13173	14221
murE	MRSA_LacFitz_contig_1	466220	467701	+	1482	16361	15786	19933	13090	12158	12150
PBCCJM_00463	MRSA_LacFitz_contig_1	467694	467945	+	252	898	854	1020	750	707	657
prfC	MRSA_LacFitz_contig_1	467945	469507	+	1563	25942	25369	32223	20450	18970	17978
terC	MRSA_LacFitz_contig_1	469809	470612	+	804	10874	10153	13100	9185	9036	9960
degQ	MRSA_LacFitz_contig_1;MRSA_LacFitz_contig_1	470846;1284339	473155;1285613	+;+	3585	29497	30294	40901	33360	35451	36839
trkG	MRSA_LacFitz_contig_1;MRSA_LacFitz_contig_1	473172;1579159	474530;1580466	+;+	2667	12783	13096	16408	13309	13749	13063
comK	MRSA_LacFitz_contig_1;MRSA_LacFitz_contig_1	476667;1349628	477236;1350071	-;+	1014	1008	875	1215	951	1372	1019
PBCCJM_00472	MRSA_LacFitz_contig_1	477446	477664	+	219	3737	2857	3555	1502	795	1216
lplA	MRSA_LacFitz_contig_1;MRSA_LacFitz_contig_1	477745;2697546	478731;2698568	-;+	2010	5356	6301	6598	6151	5354	6005
ykvS	MRSA_LacFitz_contig_1	478930	479106	+	177	5190	5501	5824	3946	4203	3960
PBCCJM_00475	MRSA_LacFitz_contig_1	479121	479723	+	603	12099	14114	14793	10665	10850	10770
PBCCJM_00477	MRSA_LacFitz_contig_1	480024	480101	+	78	3759	3634	4411	68423	65086	64499
PBCCJM_00478	MRSA_LacFitz_contig_1	481067	483031	+	1965	435	386	554	391	387	442
yxeA	MRSA_LacFitz_contig_1;MRSA_LacFitz_contig_1	483034;2740353	483354;2740721	+;+	690	133	111	216	87	76	119
lolD	MRSA_LacFitz_contig_1;MRSA_LacFitz_contig_1;MRSA_LacFitz_contig_1	483351;2676925;2212006	483992;2677602;2212761	+;+;-	2076	6562	5362	8678	1858	2053	2605
PBCCJM_00481	MRSA_LacFitz_contig_1	484080	484325	-	246	6181	4421	6241	13550	11790	13874
PBCCJM_00482	MRSA_LacFitz_contig_1	484649	484936	+	288	1210	1371	1720	2417	2504	3190
tarM	MRSA_LacFitz_contig_1	484942	486423	+	1482	6781	7705	8932	14685	15785	19074
fecB	MRSA_LacFitz_contig_1;MRSA_LacFitz_contig_1	487345;1753532	488304;1754515	+;-	1944	2740	3161	3312	6492	3800	7526
PBCCJM_00486	MRSA_LacFitz_contig_1	488350	488466	-	117	581	560	785	250	207	149
tM2	MRSA_LacFitz_contig_1;MRSA_LacFitz_contig_1	488545;670683	488760;670961	-;-	495	8783	9620	11738	5062	4491	5638
menA	MRSA_LacFitz_contig_1	489528	490466	-	939	14158	14351	16981	11567	11164	10735
menF	MRSA_LacFitz_contig_1	490648	492009	+	1362	5656	6580	8175	5605	5546	4716
menD	MRSA_LacFitz_contig_1	491996	493669	+	1674	6261	6800	8100	5735	4978	3701
menB	MRSA_LacFitz_contig_1	494452	495273	+	822	38399	38592	46782	37538	33794	34320
sspC	MRSA_LacFitz_contig_1	495512	495841	-	330	365	203	402	281	242	513
sspB	MRSA_LacFitz_contig_1	495879	497060	-	1182	1471	811	1676	1227	1019	2430
sspA	MRSA_LacFitz_contig_1	497142	498152	-	1011	1609	824	1895	1423	1082	2756
aspB	MRSA_LacFitz_contig_1;MRSA_LacFitz_contig_1;MRSA_LacFitz_contig_1	498680;2144358;1524724	499834;2145512;1526010	-;-;+	3597	43577	38889	54934	39157	37484	39114
nolL	MRSA_LacFitz_contig_1	500030	501040	-	1011	2061	2499	2896	5437	6799	7038
marR	MRSA_LacFitz_contig_1;MRSA_LacFitz_contig_1;MRSA_LacFitz_contig_1;MRSA_LacFitz_contig_1;MRSA_LacFitz_contig_1;MRSA_LacFitz_contig_2	501193;1830273;2092352;2100237;2216563;24268	501612;1830713;2092816;2100671;2217018;24687	+;+;-;-;-;+	2637	7385	7167	9932	28716	26942	26463
